hn_id,post_time_utc,owner,repo,t_day,stars_day,stars_cum_since_launch,stars_cum_abs
45057322,2025-08-28T21:36:36+00:00,elixir-lang,expert,-7,0,-122.0,5.0
45057322,2025-08-28T21:36:36+00:00,elixir-lang,expert,-6,0,-122.0,5.0
45057322,2025-08-28T21:36:36+00:00,elixir-lang,expert,-5,0,-122.0,5.0
45057322,2025-08-28T21:36:36+00:00,elixir-lang,expert,-4,0,-122.0,5.0
45057322,2025-08-28T21:36:36+00:00,elixir-lang,expert,-3,0,-122.0,5.0
45057322,2025-08-28T21:36:36+00:00,elixir-lang,expert,-2,0,-122.0,5.0
45057322,2025-08-28T21:36:36+00:00,elixir-lang,expert,-1,122,0.0,127.0
45057322,2025-08-28T21:36:36+00:00,elixir-lang,expert,0,307,307.0,434.0
45057322,2025-08-28T21:36:36+00:00,elixir-lang,expert,1,0,307.0,434.0
45057322,2025-08-28T21:36:36+00:00,elixir-lang,expert,2,0,307.0,434.0
45057322,2025-08-28T21:36:36+00:00,elixir-lang,expert,3,0,307.0,434.0
45057322,2025-08-28T21:36:36+00:00,elixir-lang,expert,4,0,307.0,434.0
45057322,2025-08-28T21:36:36+00:00,elixir-lang,expert,5,0,307.0,434.0
45057322,2025-08-28T21:36:36+00:00,elixir-lang,expert,6,0,307.0,434.0
45057322,2025-08-28T21:36:36+00:00,elixir-lang,expert,7,0,307.0,434.0
45052950,2025-08-28T14:54:07+00:00,mcpcat,mcpcat-typescript-sdk,-7,1,-5.0,21.0
45052950,2025-08-28T14:54:07+00:00,mcpcat,mcpcat-typescript-sdk,-6,0,-5.0,21.0
45052950,2025-08-28T14:54:07+00:00,mcpcat,mcpcat-typescript-sdk,-5,0,-5.0,21.0
45052950,2025-08-28T14:54:07+00:00,mcpcat,mcpcat-typescript-sdk,-4,0,-5.0,21.0
45052950,2025-08-28T14:54:07+00:00,mcpcat,mcpcat-typescript-sdk,-3,0,-5.0,21.0
45052950,2025-08-28T14:54:07+00:00,mcpcat,mcpcat-typescript-sdk,-2,1,-4.0,22.0
45052950,2025-08-28T14:54:07+00:00,mcpcat,mcpcat-typescript-sdk,-1,4,0.0,26.0
45052950,2025-08-28T14:54:07+00:00,mcpcat,mcpcat-typescript-sdk,0,20,20.0,46.0
45052950,2025-08-28T14:54:07+00:00,mcpcat,mcpcat-typescript-sdk,1,0,20.0,46.0
45052950,2025-08-28T14:54:07+00:00,mcpcat,mcpcat-typescript-sdk,2,0,20.0,46.0
45052950,2025-08-28T14:54:07+00:00,mcpcat,mcpcat-typescript-sdk,3,0,20.0,46.0
45052950,2025-08-28T14:54:07+00:00,mcpcat,mcpcat-typescript-sdk,4,0,20.0,46.0
45052950,2025-08-28T14:54:07+00:00,mcpcat,mcpcat-typescript-sdk,5,0,20.0,46.0
45052950,2025-08-28T14:54:07+00:00,mcpcat,mcpcat-typescript-sdk,6,0,20.0,46.0
45052950,2025-08-28T14:54:07+00:00,mcpcat,mcpcat-typescript-sdk,7,0,20.0,46.0
45052200,2025-08-28T13:51:51+00:00,mi12labs,swiftai,-7,0,-1.0,7.0
45052200,2025-08-28T13:51:51+00:00,mi12labs,swiftai,-6,0,-1.0,7.0
45052200,2025-08-28T13:51:51+00:00,mi12labs,swiftai,-5,0,-1.0,7.0
45052200,2025-08-28T13:51:51+00:00,mi12labs,swiftai,-4,1,0.0,8.0
45052200,2025-08-28T13:51:51+00:00,mi12labs,swiftai,-3,0,0.0,8.0
45052200,2025-08-28T13:51:51+00:00,mi12labs,swiftai,-2,0,0.0,8.0
45052200,2025-08-28T13:51:51+00:00,mi12labs,swiftai,-1,0,0.0,8.0
45052200,2025-08-28T13:51:51+00:00,mi12labs,swiftai,0,88,88.0,96.0
45052200,2025-08-28T13:51:51+00:00,mi12labs,swiftai,1,0,88.0,96.0
45052200,2025-08-28T13:51:51+00:00,mi12labs,swiftai,2,0,88.0,96.0
45052200,2025-08-28T13:51:51+00:00,mi12labs,swiftai,3,0,88.0,96.0
45052200,2025-08-28T13:51:51+00:00,mi12labs,swiftai,4,0,88.0,96.0
45052200,2025-08-28T13:51:51+00:00,mi12labs,swiftai,5,0,88.0,96.0
45052200,2025-08-28T13:51:51+00:00,mi12labs,swiftai,6,0,88.0,96.0
45052200,2025-08-28T13:51:51+00:00,mi12labs,swiftai,7,0,88.0,96.0
45051542,2025-08-28T12:49:10+00:00,b0nes164,gpuprefixsums,-7,0,-2.0,159.0
45051542,2025-08-28T12:49:10+00:00,b0nes164,gpuprefixsums,-6,0,-2.0,159.0
45051542,2025-08-28T12:49:10+00:00,b0nes164,gpuprefixsums,-5,0,-2.0,159.0
45051542,2025-08-28T12:49:10+00:00,b0nes164,gpuprefixsums,-4,1,-1.0,160.0
45051542,2025-08-28T12:49:10+00:00,b0nes164,gpuprefixsums,-3,1,0.0,161.0
45051542,2025-08-28T12:49:10+00:00,b0nes164,gpuprefixsums,-2,0,0.0,161.0
45051542,2025-08-28T12:49:10+00:00,b0nes164,gpuprefixsums,-1,0,0.0,161.0
