hn_id,owner,repo,time_utc,post_time_utc,delta_24h,delta_48h,delta_168h,baseline_stars,launch_day_stars,hn_score,hn_comments,is_show_hn,post_hour_utc,post_weekday,is_weekend_post,title_len,has_numbers,has_exclamation,title_has_release,title_has_paper,owner_type,repo_age_days,readme_len,license_spdx,has_releases,stars_now,forks,open_issues,watchers,topics_has_llm,topics_has_rag,topics_has_transformers,topics_has_llama,topics_has_agent,topics_has_vector,topics_has_diffusion,ai_topic_any
45057322,elixir-lang,expert,2025-08-28T21:36:36+00:00,2025-08-28 21:36:36+00:00,307.0,307.0,307.0,127.0,307.0,83,12,False,21,3,0,65,0,0,1,0,Organization,344.0,1980.0,Apache-2.0,True,420.0,7.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45052950,mcpcat,mcpcat-typescript-sdk,2025-08-28T14:54:07+00:00,2025-08-28 14:54:07+00:00,20.0,20.0,20.0,26.0,20.0,13,3,True,14,3,0,70,0,0,1,0,Organization,90.0,6234.0,MIT,False,46.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
45052200,mi12labs,swiftai,2025-08-28T13:51:51+00:00,2025-08-28 13:51:51+00:00,88.0,88.0,88.0,8.0,88.0,60,13,True,13,3,0,80,0,0,0,0,Organization,14.0,9120.0,MIT,True,95.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
45051542,b0nes164,gpuprefixsums,2025-08-28T12:49:10+00:00,2025-08-28 12:49:10+00:00,61.0,61.0,61.0,161.0,61.0,77,17,False,12,3,0,45,0,0,0,0,User,899.0,9469.0,NOASSERTION,False,221.0,9.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45051219,forter,trusted-agentic-commerce-protocol,2025-08-28T12:14:15+00:00,2025-08-28 12:14:15+00:00,13.0,13.0,13.0,112.0,13.0,17,1,False,12,3,0,37,0,0,0,0,Organization,6.0,5983.0,MIT,False,125.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
45047572,soulim,bookmarks.txt,2025-08-28T02:12:23+00:00,2025-08-28 02:12:23+00:00,147.0,147.0,147.0,4.0,147.0,171,146,False,2,3,0,62,0,0,0,0,User,578.0,2128.0,MIT,False,151.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45046547,anthropics,claude-code,2025-08-27T23:28:35+00:00,2025-08-27 23:28:35+00:00,147.0,178.0,178.0,31671.0,147.0,13,3,False,23,2,0,75,0,1,0,0,Organization,186.0,2413.0,,False,31848.0,1901.0,2871.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45045116,polaroi8d,cactoide,2025-08-27T20:53:51+00:00,2025-08-27 20:53:51+00:00,148.0,152.0,152.0,0.0,148.0,105,59,True,20,2,0,61,0,0,1,0,User,0.0,2181.0,MIT,True,152.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45041315,renzorlive,vimmaster,2025-08-27T15:50:54+00:00,2025-08-27 15:50:54+00:00,789.0,872.0,872.0,0.0,789.0,357,115,False,15,2,0,10,0,0,1,0,User,0.0,5743.0,MIT,False,869.0,36.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45040875,razetime,efficient-array-programming,2025-08-27T15:16:18+00:00,2025-08-27 15:16:18+00:00,53.0,57.0,57.0,10.0,53.0,92,14,False,15,2,0,27,0,0,0,0,User,1535.0,1132.0,,False,67.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
