hn_id,title,original_url,resolved_url,owner,repo,path_type,valid,valid_reason
45057322,Expert LSP the official language server implementation for Elixir,https://github.com/elixir-lang/expert,https://github.com/elixir-lang/expert,elixir-lang,expert,repo,,
45052950,Show HN: MCPcat – A free open-source library for MCP server monitoring,https://github.com/MCPCat/mcpcat-typescript-sdk,https://github.com/MCPCat/mcpcat-typescript-sdk,mcpcat,mcpcat-typescript-sdk,repo,,
45052200,Show HN: SwiftAI – open-source library to easily build LLM features on iOS/macOS,https://github.com/mi12labs/SwiftAI,https://github.com/mi12labs/SwiftAI,mi12labs,swiftai,repo,,
45051542,GPU Prefix Sums: A nearly complete collection,https://github.com/b0nes164/GPUPrefixSums,https://github.com/b0nes164/GPUPrefixSums,b0nes164,gpuprefixsums,repo,,
45051219,The Trusted Agentic Commerce Protocol,https://github.com/forter/trusted-agentic-commerce-protocol,https://github.com/forter/trusted-agentic-commerce-protocol,forter,trusted-agentic-commerce-protocol,repo,,
45047572,Bookmarks.txt is a concept of keeping URLs in plain text files,https://github.com/soulim/bookmarks.txt,https://github.com/soulim/bookmarks.txt,soulim,bookmarks.txt,repo,,
45046547,"Claude's GitHub: two issues closed by AI as ""duplicates"" – of each other..!",https://github.com/anthropics/claude-code/issues/4751,https://github.com/anthropics/claude-code/issues/4751,anthropics,claude-code,issues,,
45045116,Show HN: Meetup.com and eventribe alternative to small groups,https://github.com/polaroi8d/cactoide,https://github.com/polaroi8d/cactoide,polaroi8d,cactoide,repo,,
45041315,VIM Master,https://github.com/renzorlive/vimmaster,https://github.com/renzorlive/vimmaster,renzorlive,vimmaster,repo,,
45040875,Efficient Array Programming,https://github.com/razetime/efficient-array-programming,https://github.com/razetime/efficient-array-programming,razetime,efficient-array-programming,repo,,
45039978,StackBench Is Now Open Source,https://github.com/NapthaAI/openstackbench,https://github.com/NapthaAI/openstackbench,napthaai,openstackbench,repo,,
45037365,The GitHub website is slow on Safari,https://github.com/orgs/community/discussions/170758,https://github.com/orgs/community/discussions/170758,orgs,community,repo,,
45034957,Show HN: Regolith – Regex library that prevents ReDoS CVEs in TypeScript,https://github.com/JakeRoggenbuck/regolith,https://github.com/JakeRoggenbuck/regolith,jakeroggenbuck,regolith,repo,,
45034496,Malicious versions of Nx and some supporting plugins were published,https://github.com/nrwl/nx/security/advisories/GHSA-cxm3-wv7p-598c,https://github.com/nrwl/nx/security/advisories/GHSA-cxm3-wv7p-598c,nrwl,nx,repo,,
45025678,Show HN: Sideko – Hybrid deterministic/LLM generator for API SDKs and docs,https://github.com/Sideko-Inc/sideko/tree/main/releases/determinism-plus-llms,https://github.com/Sideko-Inc/sideko/tree/main/releases/determinism-plus-llms,sideko-inc,sideko,tree,,
45024338,"Microsoft open weights VibeVoice TTS supports 90 minutes speech, 4 speakers",https://github.com/microsoft/VibeVoice,https://github.com/microsoft/VibeVoice,microsoft,vibevoice,repo,,
45022931,Show HN: I integrated my from-scratch TCP/IP stack into the xv6-riscv OS,https://github.com/pandax381/xv6-riscv-net,https://github.com/pandax381/xv6-riscv-net,pandax381,xv6-riscv-net,repo,,
45021282,Feat: Add 'Proof of React' Challenge,https://github.com/TecharoHQ/anubis/pull/1038,https://github.com/TecharoHQ/anubis/pull/1038,techarohq,anubis,pull,,
45020457,WiFi-3D-Fusion – Real-time 3D motion sensing with Wi-Fi,https://github.com/MaliosDark/wifi-3d-fusion,https://github.com/MaliosDark/wifi-3d-fusion,maliosdark,wifi-3d-fusion,repo,,
45019671,iOS 18.6.1 0-click RCE POC,https://github.com/b1n4r1b01/n-days/blob/main/CVE-2025-43300.md,https://github.com/b1n4r1b01/n-days/blob/main/CVE-2025-43300.md,b1n4r1b01,n-days,blob,,
45018113,Show HN: Gonzo – A Go-based TUI for log analysis (OpenTelemetry/OTLP support),https://github.com/control-theory/gonzo,https://github.com/control-theory/gonzo,control-theory,gonzo,repo,,
45018081,Fenster: Most minimal cross-platform GUI library,https://github.com/zserge/fenster,https://github.com/zserge/fenster,zserge,fenster,repo,,
45017314,"Show HN: Whisker, a real-time Pipecat debugger for your voice AI agents",https://github.com/pipecat-ai/whisker,https://github.com/pipecat-ai/whisker,pipecat-ai,whisker,repo,,
45015758,Show HN: SecretMemoryLocker – File Encryption Without Static Passwords,https://github.com/SecretML/SecretMemoryLocker,https://github.com/SecretML/SecretMemoryLocker,secretml,secretmemorylocker,repo,,
45015281,Show HN: Human-like RAG — no vectors,https://github.com/VectifyAI/PageIndex,https://github.com/VectifyAI/PageIndex,vectifyai,pageindex,repo,,
45014911,SDS: Simple Dynamic Strings library for C,https://github.com/antirez/sds,https://github.com/antirez/sds,antirez,sds,repo,,
45013572,Show HN: Async – Claude code and Linear and GitHub PRs in one opinionated tool,https://github.com/bkdevs/async-server,https://github.com/bkdevs/async-server,bkdevs,async-server,repo,,
45012548,Prediction-Encoded Pixels image format,https://github.com/ENDESGA/PEP,https://github.com/ENDESGA/PEP,endesga,pep,repo,,
45012430,Agent-C: a 4KB AI agent,https://github.com/bravenewxyz/agent-c,https://github.com/bravenewxyz/agent-c,bravenewxyz,agent-c,repo,,
45011004,Show HN: Spoon-Bending – a framework for analyzing GPT-5 alignment behavior,https://github.com/pablo-chacon/Spoon-Bending,https://github.com/pablo-chacon/Spoon-Bending,pablo-chacon,spoon-bending,repo,,
45010524,MCP Gateway and Registry,https://github.com/IBM/mcp-context-forge,https://github.com/IBM/mcp-context-forge,ibm,mcp-context-forge,repo,,
45010461,Show HN: Timep – A next-gen profiler and flamegraph-generator for bash code,https://github.com/jkool702/timep,https://github.com/jkool702/timep,jkool702,timep,repo,,
45009486,Show HN: Decentralized Bitcoin Incentives via QR Codes,https://github.com/DT7QR/Bitcoin-Rewards-System-Proposal,https://github.com/DT7QR/Bitcoin-Rewards-System-Proposal,dt7qr,bitcoin-rewards-system-proposal,repo,,
45008406,Introducing: VuIO – open-source UPNP/DLNA server written in Rust,https://github.com/vuiodev/vuio,https://github.com/vuiodev/vuio,vuiodev,vuio,repo,,
45008308,GNU cross-tools: musl-cross 313.3M,https://github.com/cross-tools/musl-cross,https://github.com/cross-tools/musl-cross,cross-tools,musl-cross,repo,,
45007797,Anubis_offload: Userscript to offload Anubis PoW to native CPU or GPU code,https://github.com/DavidBuchanan314/anubis_offload,https://github.com/DavidBuchanan314/anubis_offload,davidbuchanan314,anubis_offload,repo,,
45007525,Reverse Engineered Raspberry Pi Compute Module 5,https://github.com/schlae/cm5-reveng,https://github.com/schlae/cm5-reveng,schlae,cm5-reveng,repo,,
45006686,Show HN: FilterQL – A tiny query language for filtering structured data,https://github.com/adamhl8/filterql,https://github.com/adamhl8/filterql,adamhl8,filterql,repo,,
45005434,We put a coding agent in a while loop,https://github.com/repomirrorhq/repomirror/blob/main/repomirror.md,https://github.com/repomirrorhq/repomirror/blob/main/repomirror.md,repomirrorhq,repomirror,blob,,
