owner,repo,owner_type,created_at,pushed_at,license_spdx,default_branch,stars_now,forks,open_issues,watchers,topics_json,readme_len,has_releases
elixir-lang,expert,Organization,2024-09-18T13:26:43Z,2025-08-29T03:47:49Z,Apache-2.0,main,420,7,12,11,"[""elixir"", ""language-server-protocol"", ""lsp""]",1980,True
mcpcat,mcpcat-typescript-sdk,Organization,2025-05-29T18:36:23Z,2025-08-28T14:27:15Z,MIT,main,46,2,1,2,"[""agent-runtime"", ""agents"", ""ai"", ""ai-agents"", ""ai-platform"", ""ai-tools"", ""analytics"", ""debugging"", ""mcp"", ""mcp-server"", ""mcp-tools"", ""mcps"", ""observability""]",6234,False
mi12labs,swiftai,Organization,2025-08-13T20:42:56Z,2025-08-28T22:21:03Z,MIT,main,95,5,2,2,[],9120,True
b0nes164,gpuprefixsums,User,2023-03-13T03:00:30Z,2025-01-29T03:46:13Z,NOASSERTION,main,221,9,2,5,"[""gpgpu"", ""hlsl"", ""unity"", ""chained-scan-with-decoupled-lookback"", ""exclusive-prefix-sum"", ""inclusive-prefix-sum"", ""compute-shaders"", ""cuda"", ""d3d12""]",9469,False
forter,trusted-agentic-commerce-protocol,Organization,2025-08-21T14:54:37Z,2025-08-28T12:59:27Z,MIT,main,125,1,0,2,[],5983,False
soulim,bookmarks.txt,User,2024-01-27T10:38:23Z,2024-01-29T09:42:24Z,MIT,main,151,3,0,4,"[""bookmarks"", ""bookmarks-txt""]",2128,False
anthropics,claude-code,Organization,2025-02-22T17:41:21Z,2025-08-28T23:26:36Z,,main,31848,1901,2871,194,[],2413,False
polaroi8d,cactoide,User,2025-08-27T06:35:14Z,2025-08-27T20:40:06Z,MIT,main,152,4,1,1,"[""events"", ""gathering"", ""group"", ""rsvp""]",2181,True
renzorlive,vimmaster,User,2025-08-27T14:53:51Z,2025-08-28T12:18:22Z,MIT,main,869,36,5,5,"[""coding"", ""education"", ""game"", ""indie-game"", ""vim""]",5743,False
razetime,efficient-array-programming,User,2021-06-14T03:21:24Z,2023-12-18T09:39:06Z,,main,67,0,0,4,[],1132,False
napthaai,openstackbench,Organization,2025-08-21T03:13:31Z,2025-08-28T01:29:44Z,,main,15,1,0,1,[],15132,False
jakeroggenbuck,regolith,User,2025-06-16T23:52:54Z,2025-08-28T02:25:28Z,MIT,main,61,3,16,0,"[""javascript"", ""regex"", ""security"", ""typescript""]",20438,True
nrwl,nx,Organization,2017-08-11T18:50:23Z,2025-08-29T02:17:35Z,MIT,master,26825,2583,688,171,"[""nx"", ""angular"", ""react"", ""monorepo"", ""nodejs"", ""cypress"", ""storybook"", ""nextjs"", ""nx-workspaces"", ""hacktoberfest"", ""build-tool"", ""build-system"", ""cli"", ""javascript"", ""typescript"", ""building-tool"", ""build""]",9227,True
sideko-inc,sideko,Organization,2023-10-03T14:04:44Z,2025-08-26T13:54:19Z,NOASSERTION,main,82,3,0,5,"[""api"", ""documentation"", ""openapi"", ""openapi-spec"", ""openapi3"", ""rest-api"", ""sdk"", ""api-client"", ""openapi-generator"", ""openapi-specification"", ""swagger"", ""swagger-api"", ""swagger-codegen"", ""swagger-documentation""]",2141,True
microsoft,vibevoice,Organization,2025-08-25T13:24:01Z,2025-08-29T01:40:54Z,MIT,main,5354,430,24,45,[],10526,False
pandax381,xv6-riscv-net,User,2025-07-17T08:59:04Z,2025-08-22T08:15:07Z,NOASSERTION,networking,77,3,0,1,[],3110,False
techarohq,anubis,Organization,2025-03-17T17:35:28Z,2025-08-28T14:28:25Z,MIT,main,12292,340,194,36,"[""defense"", ""security""]",4755,True
maliosdark,wifi-3d-fusion,User,2025-08-19T22:22:13Z,2025-08-26T21:22:46Z,NOASSERTION,main,380,18,0,2,[],34478,True
b1n4r1b01,n-days,User,2021-06-27T13:12:57Z,2025-08-22T22:09:29Z,,main,402,62,0,26,[],2709,False
control-theory,gonzo,Organization,2025-08-18T18:21:51Z,2025-08-27T21:51:06Z,MIT,main,457,9,7,5,"[""ai"", ""golang"", ""logs"", ""ollama"", ""openai"", ""opentelemetry"", ""otel"", ""otlp"", ""terminal"", ""tui""]",19745,True
zserge,fenster,User,2023-01-13T15:06:25Z,2024-09-15T20:08:31Z,MIT,main,1315,70,22,23,[],3381,False
pipecat-ai,whisker,Organization,2025-08-14T20:14:49Z,2025-08-26T23:58:38Z,BSD-2-Clause,main,46,4,0,0,[],2281,True
