hn_id,time_utc,title,url,resolved_url,score,descendants,is_show_hn,author
45057322,2025-08-28T21:36:36+00:00,Expert LSP the official language server implementation for Elixir,https://github.com/elixir-lang/expert,https://github.com/elixir-lang/expert,83,12,False,pimienta
45052950,2025-08-28T14:54:07+00:00,Show HN: MCPcat – A free open-source library for MCP server monitoring,https://github.com/MCPCat/mcpcat-typescript-sdk,https://github.com/MCPCat/mcpcat-typescript-sdk,13,3,True,kashishhora
45052200,2025-08-28T13:51:51+00:00,Show HN: SwiftAI – open-source library to easily build LLM features on iOS/macOS,https://github.com/mi12labs/SwiftAI,https://github.com/mi12labs/SwiftAI,60,13,True,mi12-root
45051542,2025-08-28T12:49:10+00:00,GPU Prefix Sums: A nearly complete collection,https://github.com/b0nes164/GPUPrefixSums,https://github.com/b0nes164/GPUPrefixSums,77,17,False,coffeeaddict1
45051219,2025-08-28T12:14:15+00:00,The Trusted Agentic Commerce Protocol,https://github.com/forter/trusted-agentic-commerce-protocol,https://github.com/forter/trusted-agentic-commerce-protocol,17,1,False,oellenbogen
45047572,2025-08-28T02:12:23+00:00,Bookmarks.txt is a concept of keeping URLs in plain text files,https://github.com/soulim/bookmarks.txt,https://github.com/soulim/bookmarks.txt,171,146,False,secwang
45046547,2025-08-27T23:28:35+00:00,"Claude's GitHub: two issues closed by AI as ""duplicates"" – of each other..!",https://github.com/anthropics/claude-code/issues/4751,https://github.com/anthropics/claude-code/issues/4751,13,3,False,hihicoderhi
45045116,2025-08-27T20:53:51+00:00,Show HN: Meetup.com and eventribe alternative to small groups,https://github.com/polaroi8d/cactoide,https://github.com/polaroi8d/cactoide,105,59,True,orbanlevi
45041315,2025-08-27T15:50:54+00:00,VIM Master,https://github.com/renzorlive/vimmaster,https://github.com/renzorlive/vimmaster,357,115,False,Fluffyrnz
45040875,2025-08-27T15:16:18+00:00,Efficient Array Programming,https://github.com/razetime/efficient-array-programming,https://github.com/razetime/efficient-array-programming,92,14,False,todsacerdoti
45039978,2025-08-27T14:09:48+00:00,StackBench Is Now Open Source,https://github.com/NapthaAI/openstackbench,https://github.com/NapthaAI/openstackbench,10,6,False,richardblythman
45037365,2025-08-27T09:43:43+00:00,The GitHub website is slow on Safari,https://github.com/orgs/community/discussions/170758,https://github.com/orgs/community/discussions/170758,435,339,False,talboren
45034957,2025-08-27T02:54:07+00:00,Show HN: Regolith – Regex library that prevents ReDoS CVEs in TypeScript,https://github.com/JakeRoggenbuck/regolith,https://github.com/JakeRoggenbuck/regolith,27,25,True,roggenbuck
45034496,2025-08-27T01:38:48+00:00,Malicious versions of Nx and some supporting plugins were published,https://github.com/nrwl/nx/security/advisories/GHSA-cxm3-wv7p-598c,https://github.com/nrwl/nx/security/advisories/GHSA-cxm3-wv7p-598c,432,425,False,longcat
45025678,2025-08-26T12:36:20+00:00,Show HN: Sideko – Hybrid deterministic/LLM generator for API SDKs and docs,https://github.com/Sideko-Inc/sideko/tree/main/releases/determinism-plus-llms,https://github.com/Sideko-Inc/sideko/tree/main/releases/determinism-plus-llms,26,5,True,pmkelly4444
45024338,2025-08-26T09:46:04+00:00,"Microsoft open weights VibeVoice TTS supports 90 minutes speech, 4 speakers",https://github.com/microsoft/VibeVoice,https://github.com/microsoft/VibeVoice,14,2,False,Terretta
45022931,2025-08-26T06:24:30+00:00,Show HN: I integrated my from-scratch TCP/IP stack into the xv6-riscv OS,https://github.com/pandax381/xv6-riscv-net,https://github.com/pandax381/xv6-riscv-net,144,12,True,pandax381
45021282,2025-08-26T01:35:34+00:00,Feat: Add 'Proof of React' Challenge,https://github.com/TecharoHQ/anubis/pull/1038,https://github.com/TecharoHQ/anubis/pull/1038,11,0,False,TheFreim
45020457,2025-08-25T23:26:42+00:00,WiFi-3D-Fusion – Real-time 3D motion sensing with Wi-Fi,https://github.com/MaliosDark/wifi-3d-fusion,https://github.com/MaliosDark/wifi-3d-fusion,121,31,False,aerosol
45019671,2025-08-25T22:05:34+00:00,iOS 18.6.1 0-click RCE POC,https://github.com/b1n4r1b01/n-days/blob/main/CVE-2025-43300.md,https://github.com/b1n4r1b01/n-days/blob/main/CVE-2025-43300.md,228,56,False,akyuu
45018113,2025-08-25T19:44:01+00:00,Show HN: Gonzo – A Go-based TUI for log analysis (OpenTelemetry/OTLP support),https://github.com/control-theory/gonzo,https://github.com/control-theory/gonzo,72,15,True,J0nR
45018081,2025-08-25T19:41:51+00:00,Fenster: Most minimal cross-platform GUI library,https://github.com/zserge/fenster,https://github.com/zserge/fenster,154,52,False,klaussilveira
45017314,2025-08-25T18:37:15+00:00,"Show HN: Whisker, a real-time Pipecat debugger for your voice AI agents",https://github.com/pipecat-ai/whisker,https://github.com/pipecat-ai/whisker,11,3,True,aconchillo
45015758,2025-08-25T16:39:42+00:00,Show HN: SecretMemoryLocker – File Encryption Without Static Passwords,https://github.com/SecretML/SecretMemoryLocker,https://github.com/SecretML/SecretMemoryLocker,14,3,True,YuriiDev
45015281,2025-08-25T16:00:38+00:00,Show HN: Human-like RAG — no vectors,https://github.com/VectifyAI/PageIndex,https://github.com/VectifyAI/PageIndex,11,0,True,page_index
45014911,2025-08-25T15:27:59+00:00,SDS: Simple Dynamic Strings library for C,https://github.com/antirez/sds,https://github.com/antirez/sds,111,43,False,klaussilveira
45013572,2025-08-25T13:21:19+00:00,Show HN: Async – Claude code and Linear and GitHub PRs in one opinionated tool,https://github.com/bkdevs/async-server,https://github.com/bkdevs/async-server,105,43,True,wjsekfghks
45012548,2025-08-25T11:05:38+00:00,Prediction-Encoded Pixels image format,https://github.com/ENDESGA/PEP,https://github.com/ENDESGA/PEP,53,11,False,msephton
45012430,2025-08-25T10:43:50+00:00,Agent-C: a 4KB AI agent,https://github.com/bravenewxyz/agent-c,https://github.com/bravenewxyz/agent-c,108,84,False,liszper
45011004,2025-08-25T06:48:34+00:00,Show HN: Spoon-Bending – a framework for analyzing GPT-5 alignment behavior,https://github.com/pablo-chacon/Spoon-Bending,https://github.com/pablo-chacon/Spoon-Bending,21,3,True,pablo-chacon
45010524,2025-08-25T05:30:00+00:00,MCP Gateway and Registry,https://github.com/IBM/mcp-context-forge,https://github.com/IBM/mcp-context-forge,73,53,False,nikhilk218
45010461,2025-08-25T05:17:44+00:00,Show HN: Timep – A next-gen profiler and flamegraph-generator for bash code,https://github.com/jkool702/timep,https://github.com/jkool702/timep,53,11,True,jkool702
45009486,2025-08-25T01:52:34+00:00,Show HN: Decentralized Bitcoin Incentives via QR Codes,https://github.com/DT7QR/Bitcoin-Rewards-System-Proposal,https://github.com/DT7QR/Bitcoin-Rewards-System-Proposal,11,2,True,Yodan2025
